"name","desc","image","name_jp","created_at","updated_at","created_by","id","_read_perm","_write_perm"
"回复药G","可回复中量体力的药。","https://cdn.kiranico.net/file/kiranico/mhrise-web/images/items/item5.png","回復薬グレート","1616846216","1617887085","80067813","605f1d89916275061eccb28c","[""user:anonymous""]","[]"
"怪力种子","吃下后，攻击力会暂时上升的种子。","https://cdn.kiranico.net/file/kiranico/mhrise-web/images/items/item28.png","怪力の種","1616846216","1617887086","80067813","605f1d89916275061eccb29b","[""user:anonymous""]","[]"
"硬化粉尘","将暂时提高防御力的粉尘撒向四周。","https://cdn.kiranico.net/file/kiranico/mhrise-web/images/items/item43.png","硬化の粉塵","1616846216","1617887086","80067813","605f1d89916275061eccb2a5","[""user:anonymous""]","[]"
"携带食料","可少量回复耐力的食物。","https://cdn.kiranico.net/file/kiranico/mhrise-web/images/items/item7.png","携帯食料","1616846216","1617887086","80067813","605f1d89916275061eccb295","[""user:anonymous""]","[]"
"半生肉","可中量回复耐力的食物。","https://cdn.kiranico.net/file/kiranico/mhrise-web/images/items/item7.png","生焼け肉","1616846216","1617887086","80067813","605f1d89916275061eccb296","[""user:anonymous""]","[]"
"异臭球","散发异臭的球，可让怪物厌恶并逃离。","https://cdn.kiranico.net/file/kiranico/mhrise-web/images/items/item56.png","こやし玉","1616846216","1617887087","80067813","605f1d89916275061eccb2a8","[""user:anonymous""]","[]"
"鬼人药","提升攻击力的药。可获得如鬼一般的力量。","https://cdn.kiranico.net/file/kiranico/mhrise-web/images/items/item42.png","鬼人薬","1616846216","1617887087","80067813","605f1d89916275061eccb29c","[""user:anonymous""]","[]"
"秘药","可完全回复体力的药。","https://cdn.kiranico.net/file/kiranico/mhrise-web/images/items/item39.png","秘薬","1616846216","1617887087","80067813","605f1d89916275061eccb28d","[""user:anonymous""]","[]"
"除臭球","摔碎后会产生烟雾去除异味。可以解除无法使用部分道具、鬼火以及爆破异常状态。","https://cdn.kiranico.net/file/kiranico/mhrise-web/images/items/item21.png","消臭玉","1616846216","1617887087","80067813","605f1d89916275061eccb293","[""user:anonymous""]","[]"
"砥石","标准尺寸的砥石。可以打磨武器，回复武器的锋利度。","https://cdn.kiranico.net/file/kiranico/mhrise-web/images/items/item6.png","砥石","1616846216","1617887087","80067813","605f1d89916275061eccb2ad","[""user:anonymous""]","[]"
"大磨刀鲹鱼","特大尺寸的磨刀鲹鱼。背鳍有着胜过顶级品砥石的性能。","https://cdn.kiranico.net/file/kiranico/mhrise-web/images/items/item46.png","ドスキレアジ","1616846216","1617887088","80067813","605f1d89916275061eccb2c2","[""user:anonymous""]","[]"
"生命粉尘","将回复体力的粉尘撒向四周。","https://cdn.kiranico.net/file/kiranico/mhrise-web/images/items/item43.png","生命の粉塵","1616846216","1617887088","80067813","605f1d89916275061eccb2a1","[""user:anonymous""]","[]"
"汉方粉尘","将中和毒性及少量回复体力的粉尘撒向四周。","https://cdn.kiranico.net/file/kiranico/mhrise-web/images/items/item43.png","漢方の粉塵","1616846216","1617887088","80067813","605f1d89916275061eccb2a3","[""user:anonymous""]","[]"
"睡眠生肉","吃下后会想睡的生肉。可作为陷阱使用。","https://cdn.kiranico.net/file/kiranico/mhrise-web/images/items/item38.png","眠り生肉","1616846216","1617887088","80067813","605f1d89916275061eccb2b2","[""user:anonymous""]","[]"
"落穴陷阱","使怪物掉落的陷阱。只要超过负荷重量就会发动。","https://cdn.kiranico.net/file/kiranico/mhrise-web/images/items/item12.png","落とし穴","1616846216","1617887088","80067813","605f1d89916275061eccb2bd","[""user:anonymous""]","[]"
"力量之爪","提升攻击力的护符。加入了强者之爪，进一步增强护符的效果。","https://cdn.kiranico.net/file/kiranico/mhrise-web/images/items/item33.png","力の爪","1616846216","1617887089","80067813","605f1d89916275061eccb2c6","[""user:anonymous""]","[]"
"硬化药G","据说得到的防御力更胜硬化药的梦幻药品。","https://cdn.kiranico.net/file/kiranico/mhrise-web/images/items/item42.png","硬化薬グレート","1616846216","1617887089","80067813","605f1d89916275061eccb2a0","[""user:anonymous""]","[]"
"小桶爆弹","限时型的小爆弹。","https://cdn.kiranico.net/file/kiranico/mhrise-web/images/items/item10.png","小タル爆弾","1616846216","1617887089","80067813","605f1d89916275061eccb2b5","[""user:anonymous""]","[]"
"常春藤叶","柔软度高且强韧的草。调和落穴陷阱所需网的必要素材。","https://cdn.kiranico.net/file/kiranico/mhrise-web/images/items/item4.png","ツタの葉","1616846216","1617887089","80067813","605f1d89916275061eccb2b9","[""user:anonymous""]","[]"
"网子","可承受一定重量的强韧网子。调和落穴陷阱的必要素材。","https://cdn.kiranico.net/file/kiranico/mhrise-web/images/items/item48.png","ネット","1616846216","1617887090","80067813","605f1d89916275061eccb2bb","[""user:anonymous""]","[]"
"贪吃鲔鱼","什么都吞进嘴里的鱼。吃进去的东西，偶尔也会残留在胃里。","https://cdn.kiranico.net/file/kiranico/mhrise-web/images/items/item46.png","大食いマグロ","1616846216","1617887090","80067813","605f1d89916275061eccb2c3","[""user:anonymous""]","[]"
"忍耐种子","吃下后，防御力会暂时上升的种子。","https://cdn.kiranico.net/file/kiranico/mhrise-web/images/items/item28.png","忍耐の種","1616846216","1617887090","80067813","605f1d89916275061eccb29e","[""user:anonymous""]","[]"
"闪光球","可以发出强烈闪光的投掷球。在怪物眼前引爆的时候，会刺激怪物的眼睛，使它晕头转向。","https://cdn.kiranico.net/file/kiranico/mhrise-web/images/items/item9.png","閃光玉","1616846216","1617887090","80067813","605f1d89916275061eccb2a6","[""user:anonymous""]","[]"
"苦无","投掷用苦无。会笔直地向目标飞去。能够瞄准并投掷出去。","https://cdn.kiranico.net/file/kiranico/mhrise-web/images/items/item26.png","投げクナイ","1616846216","1617887090","80067813","605f1d89916275061eccb2ae","[""user:anonymous""]","[]"
"小木桶","空空如也的小桶。","https://cdn.kiranico.net/file/kiranico/mhrise-web/images/items/item13.png","小タル","1616846216","1617887091","80067813","605f1d89916275061eccb2b4","[""user:anonymous""]","[]"
"麻痹陷阱","能够阻止怪物行动的陷阱。亦可用于捕获。","https://cdn.kiranico.net/file/kiranico/mhrise-web/images/items/item12.png","シビレ罠","1616846216","1617887091","80067813","605f1d89916275061eccb2be","[""user:anonymous""]","[]"
"守护之护符","提升防御力的护符。光持有就可使皮肤硬质化得如岩石一般。","https://cdn.kiranico.net/file/kiranico/mhrise-web/images/items/item43.png","守りの護符","1616846216","1617887092","80067813","605f1d89916275061eccb2c7","[""user:anonymous""]","[]"
"蜂蜜","具有高营养价值的蜂蜜。与回复药调和，即可提高回复的效果。","https://cdn.kiranico.net/file/kiranico/mhrise-web/images/items/item3.png","ハチミツ","1616846216","1617887092","80067813","605f1d89916275061eccb2ca","[""user:anonymous""]","[]"
"音爆弹","爆炸时会发出高频音波的投掷爆弹。","https://cdn.kiranico.net/file/kiranico/mhrise-web/images/items/item9.png","音爆弾","1616846216","1617887092","80067813","605f1d89916275061eccb2a7","[""user:anonymous""]","[]"
"解毒药","可解除中毒、猛毒状态的药。","https://cdn.kiranico.net/file/kiranico/mhrise-web/images/items/item41.png","解毒薬","1616846216","1617887093","80067813","605f1d89916275061eccb28f","[""user:anonymous""]","[]"
"毒生肉","吃下后会中毒的生肉。可作为陷阱使用。","https://cdn.kiranico.net/file/kiranico/mhrise-web/images/items/item38.png","毒生肉","1616846216","1617887093","80067813","605f1d89916275061eccb2b0","[""user:anonymous""]","[]"
"打消果实","治愈各种属性异常与全耐性下降状态的果实。","https://cdn.kiranico.net/file/kiranico/mhrise-web/images/items/item28.png","ウチケシの実","1616846216","1617887093","80067813","605f1d89916275061eccb291","[""user:anonymous""]","[]"
"消散剂","可以将附在身上的泡沫或丝等清除干净的奇妙药。","https://cdn.kiranico.net/file/kiranico/mhrise-web/images/items/item5.png","消散剤","1616846216","1617887093","80067813","605f1d89916275061eccb292","[""user:anonymous""]","[]"
"强走药","一段时间内，使行动所需的耐力消耗量减少的药。能回复少量耐力。","https://cdn.kiranico.net/file/kiranico/mhrise-web/images/items/item42.png","強走薬","1616846216","1617887094","80067813","605f1d89916275061eccb29a","[""user:anonymous""]","[]"
"炸药","受到冲击及高温，就会引发爆炸的危险药品。","https://cdn.kiranico.net/file/kiranico/mhrise-web/images/items/item43.png","爆薬","1616846216","1617887094","80067813","605f1d89916275061eccb2b3","[""user:anonymous""]","[]"
"烤熟的鱼","烤得刚刚好的鱼。食用后会回复体力槽的红色部分，自然回复力也会提高。","https://cdn.kiranico.net/file/kiranico/mhrise-web/images/items/item46.png","こんがり魚","1616846216","1617887094","80067813","605f1d89916275061eccb2c0","[""user:anonymous""]","[]"
"大桶爆弹G","大桶爆弹的改良强化版。对付怪物的可靠道具。“G”的名称可不是盖的。","https://cdn.kiranico.net/file/kiranico/mhrise-web/images/items/item10.png","大タル爆弾Ｇ","1616846216","1617887094","80067813","605f1d89916275061eccb2b8","[""user:anonymous""]","[]"
"元气饮料","可回复耐力的饮料。睡意也会不翼而飞！","https://cdn.kiranico.net/file/kiranico/mhrise-web/images/items/item5.png","元気ドリンコ","1616846216","1617887095","80067813","605f1d89916275061eccb294","[""user:anonymous""]","[]"
"回复药","可回复少量体力的药。","https://cdn.kiranico.net/file/kiranico/mhrise-web/images/items/item5.png","回復薬","1616846216","1617887095","80067813","605f1d89916275061eccb28b","[""user:anonymous""]","[]"
"磨刀鲹鱼","背鳍坚硬到可用来打磨武器的鱼类。","https://cdn.kiranico.net/file/kiranico/mhrise-web/images/items/item46.png","キレアジ","1616846216","1617887095","80067813","605f1d89916275061eccb2c1","[""user:anonymous""]","[]"
"力量之护符","提升攻击力的护符。光持有就可获得如鬼人般的力量。","https://cdn.kiranico.net/file/kiranico/mhrise-web/images/items/item43.png","力の護符","1616846216","1617887095","80067813","605f1d89916275061eccb2c5","[""user:anonymous""]","[]"
"烤肉组合","可以将生肉烧烤成可食用的肉，是猎人的必须用品。","https://cdn.kiranico.net/file/kiranico/mhrise-web/images/items/item27.png","肉焼きセット","1616846216","1617887095","80067813","605f1d89916275061eccb2ac","[""user:anonymous""]","[]"
"汉方药","可解除中毒状态，并同时少量回复体力的药。","https://cdn.kiranico.net/file/kiranico/mhrise-web/images/items/item39.png","漢方薬","1616846216","1617887096","80067813","605f1d89916275061eccb290","[""user:anonymous""]","[]"
"烤焦的肉","焦糊肉。有时候会回复耐力，而其他时候……","https://cdn.kiranico.net/file/kiranico/mhrise-web/images/items/item7.png","コゲ肉","1616846216","1617887096","80067813","605f1d89916275061eccb298","[""user:anonymous""]","[]"
"活力剂","可提高自然回复力的药。","https://cdn.kiranico.net/file/kiranico/mhrise-web/images/items/item42.png","活力剤","1616846216","1617887096","80067813","605f1d89916275061eccb299","[""user:anonymous""]","[]"
"硬化药","提升防御力的药。皮肤会硬质化得如岩石一般。","https://cdn.kiranico.net/file/kiranico/mhrise-web/images/items/item42.png","硬化薬","1616846216","1617887096","80067813","605f1d89916275061eccb29f","[""user:anonymous""]","[]"
"生命大粉尘","将可大幅回复体力的粉尘撒向四周。","https://cdn.kiranico.net/file/kiranico/mhrise-web/images/items/item43.png","生命の大粉塵","1616846216","1617887096","80067813","605f1d89916275061eccb2a2","[""user:anonymous""]","[]"
