"item","num","gailv","mission","created_at","updated_at","created_by","id","_read_perm","_write_perm"
"{""name"": ""\u9ebb\u75f9\u83c7"", ""desc"": ""\u79d8\u85cf\u9ebb\u75f9\u4f5c\u7528\u7684\u8611\u83c7\u3002\u8c03\u548c\u6355\u83b7\u7528\u9ebb\u9189\u7403\u7684\u5fc5\u8981\u7d20\u6750\u3002"", ""image"": ""https://cdn.kiranico.net/file/kiranico/mhrise-web/images/items/item1.png"", ""name_jp"": ""\u30de\u30d2\u30c0\u30b1"", ""created_at"": 1616846216, ""updated_at"": 1617887104, ""created_by"": 80067813, ""id"": ""605f1d89916275061eccb2d8"", ""_read_perm"": [""user:anonymous""], ""_write_perm"": [], ""_table"": ""item""}","1","15","{""name"": ""\u5706\u5706\u9178\u6d46"", ""level"": null, ""contract"": null, ""success_condition"": ""\u4ea4\u7eb38\u4e2a\u706b\u7403\u9178\u6d46"", ""enviroment"": null, ""fu_success_condition"": null, ""type"": 1, ""star"": 1, ""name_en"": null, ""desc"": null, ""client"": ""\u559c\u6b22\u53ef\u7231\u4e8b\u7269\u7684\u6751\u5e84\u59d1\u5a18"", ""created_at"": 1616849107, ""updated_at"": 1616849107, ""created_by"": 80067813, ""id"": ""605f28d3c177320cee54b1f6"", ""_read_perm"": [""user:anonymous""], ""_write_perm"": [], ""_table"": ""mission""}","1616851805","1616851805","80067813","605f335f43af8a03ce17932f","[""user:anonymous""]","[]"
"{""name"": ""\u84dd\u8611\u83c7"", ""desc"": ""\u79d8\u85cf\u589e\u5f3a\u4f5c\u7528\u7684\u8611\u83c7\u3002\u8c03\u548c\u5404\u79cd\u56de\u590d\u9053\u5177\u7684\u5fc5\u8981\u7d20\u6750\u3002"", ""image"": ""https://cdn.kiranico.net/file/kiranico/mhrise-web/images/items/item1.png"", ""name_jp"": ""\u30a2\u30aa\u30ad\u30ce\u30b3"", ""created_at"": 1616846216, ""updated_at"": 1617887105, ""created_by"": 80067813, ""id"": ""605f1d89916275061eccb2d4"", ""_read_perm"": [""user:anonymous""], ""_write_perm"": [], ""_table"": ""item""}","1","24","{""name"": ""\u76d8\u8e1e\u5728\u795e\u793e\u7684\u6076\u5f92"", ""level"": null, ""contract"": null, ""success_condition"": ""\u8ba8\u4f108\u5934\u8d3c\u9f99"", ""enviroment"": null, ""fu_success_condition"": null, ""type"": 1, ""star"": 1, ""name_en"": null, ""desc"": null, ""client"": ""\u8654\u8bda\u7684\u827e\u9732\u732b"", ""created_at"": 1616849107, ""updated_at"": 1616849107, ""created_by"": 80067813, ""id"": ""605f28d3c177320cee54b1f8"", ""_read_perm"": [""user:anonymous""], ""_write_perm"": [], ""_table"": ""mission""}","1616851805","1616851805","80067813","605f335f43af8a03ce17933c","[""user:anonymous""]","[]"
"{""name"": ""\u8702\u871c"", ""desc"": ""\u5177\u6709\u9ad8\u8425\u517b\u4ef7\u503c\u7684\u8702\u871c\u3002\u4e0e\u56de\u590d\u836f\u8c03\u548c\uff0c\u5373\u53ef\u63d0\u9ad8\u56de\u590d\u7684\u6548\u679c\u3002"", ""image"": ""https://cdn.kiranico.net/file/kiranico/mhrise-web/images/items/item3.png"", ""name_jp"": ""\u30cf\u30c1\u30df\u30c4"", ""created_at"": 1616846216, ""updated_at"": 1617887092, ""created_by"": 80067813, ""id"": ""605f1d89916275061eccb2ca"", ""_read_perm"": [""user:anonymous""], ""_write_perm"": [], ""_table"": ""item""}","1","17","{""name"": ""\u8bf7\u7ed9\u6211\u7f8e\u5473\u7684\u8611\u83c7"", ""level"": null, ""contract"": null, ""success_condition"": ""\u4ea4\u7eb38\u4e2a\u7279\u4ea7\u83c7"", ""enviroment"": null, ""fu_success_condition"": null, ""type"": 1, ""star"": 1, ""name_en"": null, ""desc"": null, ""client"": ""\u8611\u83c7\u6599\u7406\u4e13\u5356\u5e97\u7684\u5e97\u957f"", ""created_at"": 1616849107, ""updated_at"": 1616849107, ""created_by"": 80067813, ""id"": ""605f28d3c177320cee54b1f7"", ""_read_perm"": [""user:anonymous""], ""_write_perm"": [], ""_table"": ""mission""}","1616851805","1616851805","80067813","605f335f43af8a03ce179334","[""user:anonymous""]","[]"
"{""name"": ""\u626d\u66f2\u602a\u9aa8"", ""desc"": ""\u5f62\u72b6\u5947\u5999\u7684\u626d\u66f2\u9aa8\u5934\u3002\u80fd\u611f\u53d7\u5230\u6f5c\u85cf\u5728\u5e9f\u795e\u793e\u7684\u4e9b\u8bb8\u53ef\u7591\u6c14\u6c1b\u3002"", ""image"": ""https://cdn.kiranico.net/file/kiranico/mhrise-web/images/items/item30.png"", ""name_jp"": ""\u306d\u3058\u308c\u305f\u602a\u9aa8"", ""created_at"": 1616846216, ""updated_at"": 1617887237, ""created_by"": 80067813, ""id"": ""605f1d89916275061eccb36d"", ""_read_perm"": [""user:anonymous""], ""_write_perm"": [], ""_table"": ""item""}","1","6","{""name"": ""\u5706\u5706\u9178\u6d46"", ""level"": null, ""contract"": null, ""success_condition"": ""\u4ea4\u7eb38\u4e2a\u706b\u7403\u9178\u6d46"", ""enviroment"": null, ""fu_success_condition"": null, ""type"": 1, ""star"": 1, ""name_en"": null, ""desc"": null, ""client"": ""\u559c\u6b22\u53ef\u7231\u4e8b\u7269\u7684\u6751\u5e84\u59d1\u5a18"", ""created_at"": 1616849107, ""updated_at"": 1616849107, ""created_by"": 80067813, ""id"": ""605f28d3c177320cee54b1f6"", ""_read_perm"": [""user:anonymous""], ""_write_perm"": [], ""_table"": ""mission""}","1616851805","1616851805","80067813","605f335f43af8a03ce179333","[""user:anonymous""]","[]"
"{""name"": ""\u8702\u871c"", ""desc"": ""\u5177\u6709\u9ad8\u8425\u517b\u4ef7\u503c\u7684\u8702\u871c\u3002\u4e0e\u56de\u590d\u836f\u8c03\u548c\uff0c\u5373\u53ef\u63d0\u9ad8\u56de\u590d\u7684\u6548\u679c\u3002"", ""image"": ""https://cdn.kiranico.net/file/kiranico/mhrise-web/images/items/item3.png"", ""name_jp"": ""\u30cf\u30c1\u30df\u30c4"", ""created_at"": 1616846216, ""updated_at"": 1617887092, ""created_by"": 80067813, ""id"": ""605f1d89916275061eccb2ca"", ""_read_perm"": [""user:anonymous""], ""_write_perm"": [], ""_table"": ""item""}","1","17","{""name"": ""\u5706\u5706\u9178\u6d46"", ""level"": null, ""contract"": null, ""success_condition"": ""\u4ea4\u7eb38\u4e2a\u706b\u7403\u9178\u6d46"", ""enviroment"": null, ""fu_success_condition"": null, ""type"": 1, ""star"": 1, ""name_en"": null, ""desc"": null, ""client"": ""\u559c\u6b22\u53ef\u7231\u4e8b\u7269\u7684\u6751\u5e84\u59d1\u5a18"", ""created_at"": 1616849107, ""updated_at"": 1616849107, ""created_by"": 80067813, ""id"": ""605f28d3c177320cee54b1f6"", ""_read_perm"": [""user:anonymous""], ""_write_perm"": [], ""_table"": ""mission""}","1616851805","1616851805","80067813","605f335f43af8a03ce17932d","[""user:anonymous""]","[]"
"{""name"": ""\u82e6\u866b"", ""desc"": ""\u53ef\u4fc3\u8fdb\u81ea\u7136\u6cbb\u6108\u80fd\u529b\uff0c\u79d8\u85cf\u82e6\u5473\u8403\u53d6\u6db2\u7684\u866b\u3002\u8c03\u548c\u8bb8\u591a\u836f\u7269\u90fd\u4f1a\u7528\u5230\u3002"", ""image"": ""https://cdn.kiranico.net/file/kiranico/mhrise-web/images/items/item8.png"", ""name_jp"": ""\u306b\u304c\u866b"", ""created_at"": 1616846216, ""updated_at"": 1617887113, ""created_by"": 80067813, ""id"": ""605f1d89916275061eccb2da"", ""_read_perm"": [""user:anonymous""], ""_write_perm"": [], ""_table"": ""item""}","1","8","{""name"": ""\u76d8\u8e1e\u5728\u795e\u793e\u7684\u6076\u5f92"", ""level"": null, ""contract"": null, ""success_condition"": ""\u8ba8\u4f108\u5934\u8d3c\u9f99"", ""enviroment"": null, ""fu_success_condition"": null, ""type"": 1, ""star"": 1, ""name_en"": null, ""desc"": null, ""client"": ""\u8654\u8bda\u7684\u827e\u9732\u732b"", ""created_at"": 1616849107, ""updated_at"": 1616849107, ""created_by"": 80067813, ""id"": ""605f28d3c177320cee54b1f8"", ""_read_perm"": [""user:anonymous""], ""_write_perm"": [], ""_table"": ""mission""}","1616851805","1616851805","80067813","605f335f43af8a03ce17933f","[""user:anonymous""]","[]"
"{""name"": ""\u9ebb\u75f9\u83c7"", ""desc"": ""\u79d8\u85cf\u9ebb\u75f9\u4f5c\u7528\u7684\u8611\u83c7\u3002\u8c03\u548c\u6355\u83b7\u7528\u9ebb\u9189\u7403\u7684\u5fc5\u8981\u7d20\u6750\u3002"", ""image"": ""https://cdn.kiranico.net/file/kiranico/mhrise-web/images/items/item1.png"", ""name_jp"": ""\u30de\u30d2\u30c0\u30b1"", ""created_at"": 1616846216, ""updated_at"": 1617887104, ""created_by"": 80067813, ""id"": ""605f1d89916275061eccb2d8"", ""_read_perm"": [""user:anonymous""], ""_write_perm"": [], ""_table"": ""item""}","1","15","{""name"": ""\u8bf7\u7ed9\u6211\u7f8e\u5473\u7684\u8611\u83c7"", ""level"": null, ""contract"": null, ""success_condition"": ""\u4ea4\u7eb38\u4e2a\u7279\u4ea7\u83c7"", ""enviroment"": null, ""fu_success_condition"": null, ""type"": 1, ""star"": 1, ""name_en"": null, ""desc"": null, ""client"": ""\u8611\u83c7\u6599\u7406\u4e13\u5356\u5e97\u7684\u5e97\u957f"", ""created_at"": 1616849107, ""updated_at"": 1616849107, ""created_by"": 80067813, ""id"": ""605f28d3c177320cee54b1f7"", ""_read_perm"": [""user:anonymous""], ""_write_perm"": [], ""_table"": ""mission""}","1616851805","1616851805","80067813","605f335f43af8a03ce179336","[""user:anonymous""]","[]"
"{""name"": ""\u82e6\u866b"", ""desc"": ""\u53ef\u4fc3\u8fdb\u81ea\u7136\u6cbb\u6108\u80fd\u529b\uff0c\u79d8\u85cf\u82e6\u5473\u8403\u53d6\u6db2\u7684\u866b\u3002\u8c03\u548c\u8bb8\u591a\u836f\u7269\u90fd\u4f1a\u7528\u5230\u3002"", ""image"": ""https://cdn.kiranico.net/file/kiranico/mhrise-web/images/items/item8.png"", ""name_jp"": ""\u306b\u304c\u866b"", ""created_at"": 1616846216, ""updated_at"": 1617887113, ""created_by"": 80067813, ""id"": ""605f1d89916275061eccb2da"", ""_read_perm"": [""user:anonymous""], ""_write_perm"": [], ""_table"": ""item""}","1","8","{""name"": ""\u8bf7\u7ed9\u6211\u7f8e\u5473\u7684\u8611\u83c7"", ""level"": null, ""contract"": null, ""success_condition"": ""\u4ea4\u7eb38\u4e2a\u7279\u4ea7\u83c7"", ""enviroment"": null, ""fu_success_condition"": null, ""type"": 1, ""star"": 1, ""name_en"": null, ""desc"": null, ""client"": ""\u8611\u83c7\u6599\u7406\u4e13\u5356\u5e97\u7684\u5e97\u957f"", ""created_at"": 1616849107, ""updated_at"": 1616849107, ""created_by"": 80067813, ""id"": ""605f28d3c177320cee54b1f7"", ""_read_perm"": [""user:anonymous""], ""_write_perm"": [], ""_table"": ""mission""}","1616851805","1616851805","80067813","605f335f43af8a03ce179338","[""user:anonymous""]","[]"
"{""name"": ""\u836f\u8349"", ""desc"": ""\u4f5c\u4e3a\u56de\u590d\u836f\u6838\u5fc3\u7d20\u6750\u7684\u8349\u3002"", ""image"": ""https://cdn.kiranico.net/file/kiranico/mhrise-web/images/items/item4.png"", ""name_jp"": ""\u85ac\u8349"", ""created_at"": 1616846216, ""updated_at"": 1617887102, ""created_by"": 80067813, ""id"": ""605f1d89916275061eccb2cb"", ""_read_perm"": [""user:anonymous""], ""_write_perm"": [], ""_table"": ""item""}","2","22","{""name"": ""\u76d8\u8e1e\u5728\u795e\u793e\u7684\u6076\u5f92"", ""level"": null, ""contract"": null, ""success_condition"": ""\u8ba8\u4f108\u5934\u8d3c\u9f99"", ""enviroment"": null, ""fu_success_condition"": null, ""type"": 1, ""star"": 1, ""name_en"": null, ""desc"": null, ""client"": ""\u8654\u8bda\u7684\u827e\u9732\u732b"", ""created_at"": 1616849107, ""updated_at"": 1616849107, ""created_by"": 80067813, ""id"": ""605f28d3c177320cee54b1f8"", ""_read_perm"": [""user:anonymous""], ""_write_perm"": [], ""_table"": ""mission""}","1616851805","1616851805","80067813","605f335f43af8a03ce17933e","[""user:anonymous""]","[]"
"{""name"": ""\u836f\u8349"", ""desc"": ""\u4f5c\u4e3a\u56de\u590d\u836f\u6838\u5fc3\u7d20\u6750\u7684\u8349\u3002"", ""image"": ""https://cdn.kiranico.net/file/kiranico/mhrise-web/images/items/item4.png"", ""name_jp"": ""\u85ac\u8349"", ""created_at"": 1616846216, ""updated_at"": 1617887102, ""created_by"": 80067813, ""id"": ""605f1d89916275061eccb2cb"", ""_read_perm"": [""user:anonymous""], ""_write_perm"": [], ""_table"": ""item""}","2","22","{""name"": ""\u5706\u5706\u9178\u6d46"", ""level"": null, ""contract"": null, ""success_condition"": ""\u4ea4\u7eb38\u4e2a\u706b\u7403\u9178\u6d46"", ""enviroment"": null, ""fu_success_condition"": null, ""type"": 1, ""star"": 1, ""name_en"": null, ""desc"": null, ""client"": ""\u559c\u6b22\u53ef\u7231\u4e8b\u7269\u7684\u6751\u5e84\u59d1\u5a18"", ""created_at"": 1616849107, ""updated_at"": 1616849107, ""created_by"": 80067813, ""id"": ""605f28d3c177320cee54b1f6"", ""_read_perm"": [""user:anonymous""], ""_write_perm"": [], ""_table"": ""mission""}","1616851805","1616851805","80067813","605f335f43af8a03ce179330","[""user:anonymous""]","[]"
