"category","name","name_en","attack","huixin","next","fire","water","thunder","ice","dragon","sleep","paralyze","poison","blasting","defense","phial","shelling","kinsect","snipe","speed","cut0","cut5","automatic","offset","hole","notes_desc","qushe","xuli","xuli_add","coatings","coatings_up","recoil","reload","ammo","previous","views","created_at","updated_at","created_by","id","_read_perm","_write_perm"
"大剑","炎火忍大剑","KamuraNinjaCleaver","190","0","","0","0","0","0","0","0","0","0","0","0","","","","","","8,18,12,12,10,0,0","8,18,12,12,16,4,0","","","1-1-0","","","","","","","","","","606434d02b316f002abb4d71","16","1617179856","1617675721","80067813","606434d02b316f002abb4d72","[""user:anonymous""]","[]"
"大剑","炎火铁大剑Ⅴ","KamuraCleaverV","150","0","","0","0","0","0","0","0","0","0","0","0","","","","","","12,16,18,8,6,0,0","12,16,18,8,14,2,0","","","0-1-0","","","","","","","","","","606434d02b316f002abb4d70","9","1617179856","1617675361","80067813","606434d02b316f002abb4d71","[""user:anonymous""]","[]"
"大剑","断海冰牙","Paladire","160","35","","0","0","0","38","0","0","0","0","0","0","","","","","","10,14,16,20,10,0,0","10,14,16,20,14,6,0","","","0-1-0","","","","","","","","","","606434d02b316f002abb4d9d","16","1617179856","1617670561","80067813","606434d02b316f002abb4d9e","[""user:anonymous""]","[]"
"大剑","雪鬼兽嗖Ⅱ","GossbladeII","200","-15","","0","0","0","17","0","0","0","0","0","0","","","","","","20,6,22,8,4,0,0","20,6,22,8,14,0,0","","","0-1-0","","","","","","","","","","606434d02b316f002abb4d73","10","1617179856","1617671161","80067813","606434d02b316f002abb4d74","[""user:anonymous""]","[]"
"大剑","炎火铁大剑Ⅳ","KamuraCleaverIV","140","0","","0","0","0","0","0","0","0","0","0","0","","","","","","12,16,16,4,2,0,0","12,16,16,4,12,0,0","","","0-0-0","","","","","","","","","","606434d02b316f002abb4d6f","9","1617179856","1617668881","80067813","606434d02b316f002abb4d70","[""user:anonymous""]","[]"
"大剑","炎火铁大剑Ⅲ","KamuraCleaverIII","90","0","","0","0","0","0","0","0","0","0","0","0","","","","","","14,14,18,4,0,0,0","14,14,18,14,0,0,0","","","0-0-0","","","","","","","","","","606434d02b316f002abb4d6e","5","1617179856","1617673802","80067813","606434d02b316f002abb4d6f","[""user:anonymous""]","[]"
"大剑","雪鬼兽嗖Ⅰ","GossbladeI","170","-15","","0","0","0","15","0","0","0","0","0","0","","","","","","20,6,18,6,0,0,0","20,6,18,14,2,0,0","","","0-0-0","","","","","","","","","","606434d02b316f002abb4d6f","11","1617179856","1617668641","80067813","606434d02b316f002abb4d73","[""user:anonymous""]","[]"
"大剑","巨力坏剑","ColossalAxeblade","180","0","","0","0","0","0","0","0","0","0","0","0","","","","","","22,20,10,8,0,0,0","22,20,10,14,4,0,0","","","3-0-0","","","","","","","","","","606434d02b316f002abb4d79","15","1617179856","1617671161","80067813","606434d02b316f002abb4d7a","[""user:anonymous""]","[]"
"大剑","轰龙颚Ⅱ","TigerJawbladeII","200","-20","","0","0","0","0","0","0","0","0","0","0","","","","","","10,6,26,20,8,0,0","10,6,26,20,14,4,0","","","1-0-0","","","","","","","","","","606434d02b316f002abb4d7e","25","1617179856","1617674405","80067813","606434d02b316f002abb4d7f","[""user:anonymous""]","[]"
"大剑","镰鼬风剑Ⅱ","IzuchiBladeII","80","12","","0","0","0","0","0","0","0","0","0","0","","","","","","6,14,14,6,0,0,0","6,14,14,16,0,0,0","","","0-0-0","","","","","","","","","","606434d02b316f002abb4d84","2","1617179856","1617673562","80067813","606434d02b316f002abb4d85","[""user:anonymous""]","[]"
"大剑","人鱼出鞘Ⅱ","FrilledBladeII","120","0","","0","0","0","0","0","19","0","0","0","0","","","","","","8,12,22,8,0,0,0","8,12,22,18,0,0,0","","","2-0-0","","","","","","","","","","606434d02b316f002abb4d8d","4","1617179856","1617668641","80067813","606434d02b316f002abb4d8e","[""user:anonymous""]","[]"
"大剑","破坏者大刀","BusterBlade","140","0","","0","0","0","0","0","0","0","0","0","0","","","","","","14,12,14,10,0,0,0","14,12,14,20,0,0,0","","","0-0-0","","","","","","","","","","606434d02b316f002abb4d92","4","1617179856","1617643321","80067813","606434d02b316f002abb4d93","[""user:anonymous""]","[]"
"大剑","巨颚","GiantJawblade","130","0","","0","0","0","0","0","0","0","0","0","0","","","","","","18,18,14,0,0,0,0","18,18,22,2,0,0,0","","","0-0-0","","","","","","","","","","606434d02b316f002abb4da7","6","1617179856","1617672121","80067813","606434d02b316f002abb4da8","[""user:anonymous""]","[]"
"大剑","狐大剑【夜宿樱花树】Ⅱ","HanayakoYohinoII","160","10","","0","25","0","0","0","0","0","0","0","0","","","","","","22,20,16,6,6,0,0","22,20,16,6,12,4,0","","","1-0-0","","","","","","","","","","606434d02b316f002abb4d76","8","1617179856","1617669361","80067813","606434d02b316f002abb4d77","[""user:anonymous""]","[]"
"大剑","冰凌白牙Ⅱ","IcicleFangII","120","30","","0","0","0","34","0","0","0","0","0","0","","","","","","8,14,14,20,4,0,0","8,14,14,20,14,0,0","","","0-0-0","","","","","","","","","","606434d02b316f002abb4d9c","5","1617179856","1617671161","80067813","606434d02b316f002abb4d9d","[""user:anonymous""]","[]"
"大剑","伞巨刃Ⅰ","AknosomBladeI","100","0","","20","0","0","0","0","0","0","0","0","0","","","","","","6,10,16,8,0,0,0","6,10,16,18,0,0,0","","","0-0-0","","","","","","","","","","606434d02b316f002abb4d91","6","1617179856","1617673322","80067813","606434d02b316f002abb4d9f","[""user:anonymous""]","[]"
"大剑","铬金咬剃刀Ⅰ","ChromeRazorI","160","0","","0","0","0","0","0","0","0","35","0","0","","","","","","12,14,20,14,0,0,0","12,14,20,20,4,0,0","","","2-0-0","","","","","","","","","","606434d02b316f002abb4d93","3","1617179856","1617614102","80067813","606434d02b316f002abb4d94","[""user:anonymous""]","[]"
